url,type,status,final_url,title,meta_description,h1,canonical,canonical_match,og_title,og_description,title_length,meta_desc_length,issues
https://koncarelektro.rs/,page,200,,Končar Elektro - Prodaja alata i mašina renomiranih brendova,"Končar Elektro - Prodaja alata i mašina poznatih brendova: Makita, Bosch, Metabo, Hyundai, Varstroj, Hugong, Ingco, Villager, Scheppach...",,https://koncarelektro.rs/,OK,Končar Elektro - Prodaja alata i mašina renomiranih brendova,"Končar Elektro - Prodaja alata i mašina poznatih brendova: Makita, Bosch, Metabo, Hyundai, Varstroj, Hugong, Ingco, Villager, Scheppach...",60,138,NO_H1
https://koncarelektro.rs/kontakt/,page,200,,"Kontakt - Končar Elektro -trgovina električnog, ručnog alata i pribora",,,https://koncarelektro.rs/?page_id=5211,MISMATCH,"Kontakt - Končar Elektro -trgovina električnog, ručnog alata i pribora",,70,0,TITLE_TOO_LONG|NO_META_DESC|NO_H1|CANONICAL_MISMATCH
https://koncarelektro.rs/o-nama/,page,200,,"O nama - Končar Elektro -trgovina električnog, ručnog alata i pribora",,O nama,https://koncarelektro.rs/?page_id=5220,MISMATCH,"O nama - Končar Elektro -trgovina električnog, ručnog alata i pribora",,69,0,TITLE_TOO_LONG|NO_META_DESC|CANONICAL_MISMATCH
https://koncarelektro.rs/novosti/,page,200,,"Novosti - Končar Elektro -trgovina električnog, ručnog alata i pribora",,Novosti,https://koncarelektro.rs/?page_id=5206,MISMATCH,"Novosti - Končar Elektro -trgovina električnog, ručnog alata i pribora",,70,0,TITLE_TOO_LONG|NO_META_DESC|CANONICAL_MISMATCH
https://koncarelektro.rs/proizvodi/,page,200,,"Proizvodi cena | Kupovina online - Končar Elektro -trgovina električnog, ručnog alata i pribora",Pogledajte Proizvodi po najboljoj ceni. Brza dostava i kupovina online. Garancija i podrška u Srbiji.,Proizvodi,https://koncarelektro.rs/?page_id=3853,MISMATCH,"Proizvodi - Končar Elektro -trgovina električnog, ručnog alata i pribora",,95,101,TITLE_TOO_LONG|CANONICAL_MISMATCH
https://koncarelektro.rs/nacin-placanja/,page,200,,"Način plaćanja - Končar Elektro -trgovina električnog, ručnog alata i pribora",,Način plaćanja,https://koncarelektro.rs/?page_id=5284,MISMATCH,"Način plaćanja - Končar Elektro -trgovina električnog, ručnog alata i pribora",,77,0,TITLE_TOO_LONG|NO_META_DESC|CANONICAL_MISMATCH
https://koncarelektro.rs/podaci-o-firmi/,page,200,,"Podaci o firmi - Končar Elektro -trgovina električnog, ručnog alata i pribora",,Podaci o firmi,https://koncarelektro.rs/?page_id=5258,MISMATCH,"Podaci o firmi - Končar Elektro -trgovina električnog, ručnog alata i pribora",,77,0,TITLE_TOO_LONG|NO_META_DESC|CANONICAL_MISMATCH
https://koncarelektro.rs/politika-privatnosti/,page,200,,"Politika privatnosti - Končar Elektro -trgovina električnog, ručnog alata i pribora",,Politika privatnosti,https://koncarelektro.rs/?page_id=5270,MISMATCH,"Politika privatnosti - Končar Elektro -trgovina električnog, ručnog alata i pribora",,83,0,TITLE_TOO_LONG|NO_META_DESC|CANONICAL_MISMATCH
https://koncarelektro.rs/kolacici-cookies/,page,200,,"Kolačići (cookies) - Končar Elektro -trgovina električnog, ručnog alata i pribora",,Kolačići (cookies),https://koncarelektro.rs/?page_id=5273,MISMATCH,"Kolačići (cookies) - Končar Elektro -trgovina električnog, ručnog alata i pribora",,81,0,TITLE_TOO_LONG|NO_META_DESC|CANONICAL_MISMATCH
https://koncarelektro.rs/narucivanje/,page,200,,"Naručivanje - Končar Elektro -trgovina električnog, ručnog alata i pribora",,Naručivanje,https://koncarelektro.rs/?page_id=5282,MISMATCH,"Naručivanje - Končar Elektro -trgovina električnog, ručnog alata i pribora",,74,0,TITLE_TOO_LONG|NO_META_DESC|CANONICAL_MISMATCH
